#Position (bp)	mapping quality
179658.5	142.3066902068813
538974.5	155.9187953116109
898290.5	82.7228537726367
1257606.5	111.52418792897296
1616922.5	125.62427258953923
1976238.5	148.23429956666476
2335554.5	109.49453661904853
2694870.5	137.0666455920439
3054186.5	132.81402090263248
3413502.5	151.3398103675899
3772818.5	92.82932325212283
4132134.5	144.25984159340638
4491450.5	169.6700157775742
4850766.5	129.46500058775078
5210082.5	122.80358070255744
5569398.5	105.57362498084808
5928714.5	80.94569853383607
6288030.5	54.02569794029861
6647346.5	124.77856252446873
7006662.5	157.4335002075471
7365978.5	65.26940882048879
7725294.5	144.3775570095213
8084610.5	107.81005199199193
8443926.5	85.01362685062028
8803242.5	69.16343163460485
9162558.5	131.09757518216887
9521874.5	107.58877425014586
9881190.5	179.61253967737983
1.02405065E7	153.69001478120197
1.05998225E7	140.761841373873
1.09591385E7	141.4724057378773
1.13184545E7	152.10606762578308
1.16777705E7	141.10890191578187
1.20370865E7	109.39227662232082
1.23964025E7	23.140157836889273
1.27557185E7	109.02342830979467
1.31150345E7	141.23224558672413
1.34743505E7	137.3012346312288
1.38336665E7	160.28689337800307
1.41929825E7	87.925574638476
1.45522985E7	69.00073989930397
1.49116145E7	73.99220376588504
1.52709305E7	120.19855632546495
1.56302465E7	98.7574962861416
1.59895625E7	39.18836174336357
1.63488785E7	75.06712820073005
1.67081945E7	94.77453243417779
1.70675105E7	105.76832581481267
1.74268265E7	112.90341437250875
1.77861425E7	9.85192236593768
1.81454585E7	103.7587167303561
1.85047745E7	101.68013560772161
1.88640905E7	125.79204406508431
1.92234065E7	115.47690644115032
1.95827225E7	106.37593248461671
1.99420385E7	135.00327948095034
2.03013545E7	74.4446690549339
2.06606705E7	96.15118031579223
2.10199865E7	69.25284495366932
2.13793025E7	56.58469077412181
2.17386185E7	144.41770911410794
2.20979345E7	168.09174785167977
2.24572505E7	129.28750223490812
2.28165665E7	36.42090560657593
2.31758825E7	61.545594125687224
2.34346265E7	46.01021752267606
2.36142845E7	13.447081120985832
2.38945145E7	10.754453628210998
2.42538305E7	9.834892513121732
