2L	7911	7979	1	1	0	2	0	40
2L	8117	8192	1	1	1	18	0	65
2L	8117	8228	1	1	0	4	0	60
2L	8590	8667	1	1	0	2	0	70
2L	9293	11778	2	2	0	2	0	45
2L	11170	11778	2	2	0	1	0	63
2L	11345	11409	2	2	1	657	0	71
2L	11345	11778	2	2	1	1	0	5
2L	11519	11778	2	2	1	814	0	71
2L	11871	11926	2	2	0	1	0	68
2L	12222	12285	2	2	1	712	0	70
2L	12341	12416	2	2	0	2	0	38
2L	12929	13519	2	2	1	570	0	71
2L	12929	13559	2	2	0	3	0	66
2L	13493	13559	2	2	0	1	0	25
2L	13626	13682	2	2	1	628	0	70
2L	13841	13891	2	2	0	2	0	40
2L	14875	14932	2	2	1	539	0	71
2L	15712	16650	2	2	0	2	0	25
2L	15712	17052	2	2	1	521	32	70
2L	15712	17057	2	2	0	9	2	68
2L	15712	19879	2	2	1	0	9	8
2L	17150	19884	2	2	0	3	0	66
2L	17208	18025	2	2	0	0	4	21
2L	17208	18260	2	2	0	2	12	70
2L	17208	19879	2	2	0	13	0	68
2L	17208	20830	2	2	0	0	4	21
2L	17208	21065	2	2	0	0	2	26
2L	17213	18025	2	2	1	67	28	21
2L	17213	18260	2	2	1	92	118	68
2L	17213	18330	2	2	0	0	27	65
2L	17213	19482	2	2	0	1	0	33
2L	17213	19879	2	2	1	362	2	71
2L	17213	21135	2	2	1	3	27	65
2L	17727	17875	2	2	0	0	2	69
2L	17727	20680	2	2	0	0	2	69
2L	18164	18260	2	2	0	2	1	59
2L	18164	18330	2	2	0	2	0	36
2L	18169	18260	2	2	1	19	68	71
2L	18169	18330	2	2	0	0	1	34
2L	18194	18260	2	2	0	31	24	69
2L	18194	18330	2	2	0	0	2	69
2L	18194	21065	2	2	0	0	7	57
2L	18396	18471	2	2	0	0	9	71
2L	18396	18541	2	2	0	0	4	18
2L	18396	19879	2	2	0	3	0	51
2L	18396	21276	2	2	0	0	9	71
2L	18396	21346	2	2	0	0	4	18
2L	19657	19879	2	2	0	1	0	50
2L	20016	21065	2	2	1	24	0	71
2L	20021	20142	2	2	0	1	0	19
2L	20021	20830	2	2	0	31	0	69
2L	20021	21065	2	2	1	251	12	70
2L	20021	21135	2	2	1	40	2	68
2L	20767	20842	1	1	0	2	0	14
2L	20851	20957	2	2	0	3	0	16
2L	20969	21135	2	2	0	1	0	46
2L	20974	21065	2	2	1	17	36	71
2L	20999	21065	2	2	0	1	7	57
2L	21201	21276	2	2	0	6	0	70
2L	21201	21346	2	2	0	2	0	29
